location,population_density
Afghanistan,54.422
Albania,104.871
Algeria,17.348
Andorra,163.755
Argentina,16.177
Australia,3.202
Austria,106.749
Azerbaijan,119.309
Bahamas,39.497
Bahrain,1935.907
Bangladesh,1265.036
Barbados,664.463
Belarus,46.858
Belgium,375.564
Benin,99.11
Bhutan,21.188
Bolivia,10.202
Bosnia and Herzegovina,68.496
Brazil,25.04
Brunei,81.347
Bulgaria,65.18
Burkina Faso,70.151
Cambodia,90.672
Cameroon,50.885
Canada,4.037
Central African Republic,7.479
Chad,11.833
Chile,24.282
China,147.674
Colombia,44.223
Congo,15.405
Costa Rica,96.079
Cote d'Ivoire,76.399
Croatia,73.726
Cuba,110.408
Cyprus,127.657
Czechia,137.176
Democratic Republic of Congo,35.879
Denmark,136.52
Djibouti,41.285
Dominican Republic,222.873
Ecuador,66.939
Egypt,97.999
El Salvador,307.811
Estonia,31.033
Eswatini,79.492
Ethiopia,104.957
Fiji,49.562
Finland,18.136
France,122.578
Gabon,7.859
Gambia,207.566
Georgia,65.032
Germany,237.016
Ghana,126.719
Greece,83.479
Guatemala,157.834
Guinea,51.755
Guyana,3.952
Honduras,82.805
Hungary,108.043
Iceland,3.404
India,450.419
Indonesia,145.725
Iran,49.831
Iraq,88.125
Ireland,69.874
Israel,402.606
Italy,205.859
Jamaica,266.879
Japan,347.778
Jordan,109.285
Kazakhstan,6.681
Kenya,87.324
Kosovo,168.155
Kuwait,232.128
Kyrgyzstan,32.333
Latvia,31.212
Lebanon,594.561
Liberia,49.127
Libya,3.623
Lithuania,45.135
Luxembourg,231.447
Malaysia,96.254
Mauritius,622.962
Mexico,66.444
Moldova,123.655
Monaco,19347.5
Mongolia,1.98
Morocco,80.08
Namibia,3.078
Nepal,204.43
Netherlands,508.544
New Zealand,18.206
Nicaragua,51.667
Nigeria,209.588
Norway,14.462
Oman,14.98
Pakistan,255.573
Palestine,778.202
Panama,55.133
Paraguay,17.144
Peru,25.129
Philippines,351.873
Poland,124.027
Portugal,112.371
Qatar,227.322
Romania,85.129
Russia,8.823
Rwanda,494.869
Saudi Arabia,15.322
Senegal,82.328
Serbia,80.291
Seychelles,208.354
Singapore,7915.731
Slovakia,113.128
Slovenia,102.619
Somalia,23.5
South Africa,46.754
South Korea,527.967
Spain,93.105
Sri Lanka,341.955
Sudan,23.258
Suriname,3.612
Sweden,24.718
Switzerland,214.243
Taiwan,673
Tanzania,64.699
Thailand,135.132
Tunisia,74.228
Turkey,104.914
Ukraine,77.39
United Arab Emirates,112.442
United Kingdom,272.898
United States,35.608
Uruguay,19.751
Uzbekistan,76.134
Venezuela,36.253
Vietnam,308.127
Zambia,22.995
